Country Code,Mode,Year,Carrier,Demand_PJ
AND,air,2020,gasoline,0.6013760943904148
AND,air,2020,kerosene,0.19442332971410292
AND,sea,2020,heavy fuel oil,0.9988792244460328
AND,sea,2020,olive oil,0.537016580948429
KIR,air,2020,gasoline,0.6492778017517885
KIR,air,2020,kerosene,0.13117912338443882
KIR,sea,2020,heavy fuel oil,0.5442243380883632
KIR,sea,2020,olive oil,0.29578702151070313
NL,air,2020,gasoline,0.7927794242769893
NL,air,2020,kerosene,0.36728166821445063
NL,air,2040,kerosene,0.4040098350358957
NL,air,2050,kerosene,0.4591020852680633
NL,sea,2020,heavy fuel oil,0.6978972539700771
NL,sea,2020,olive oil,0.45595860563134316
